Time interval, IBI
39.859375,0.34375
40.171875,0.3125
275.53125,0.390625
284.265625,0.5
315.875,0.34375
331.328125,0.5
331.828125,0.5
332.25,0.421875
332.734375,0.484375
333.28125,0.546875
370.640625,0.546875
494.015625,0.453125
676.15625,0.453125
683,0.40625
685.078125,0.5625
700.875,0.640625
722.65625,0.375
758.140625,0.359375
917.875,0.703125
1017,0.453125
1017.5625,0.5625
1018,0.4375
1061.3125,0.53125
1101.578125,0.328125
1102,0.421875
1102.390625,0.390625
1102.765625,0.375
1103.078125,0.3125
1140.109375,0.34375
1205.015625,0.484375
1233.859375,0.609375
1234.421875,0.5625
1270.921875,0.71875
1488.40625,0.578125
1489.109375,0.703125
1489.828125,0.71875
1493.484375,0.53125
1494.03125,0.546875
1494.609375,0.578125
1495.265625,0.65625
1495.765625,0.5
1496.421875,0.65625
1496.9375,0.515625
1499.359375,0.625
1504.34375,0.640625
1527.890625,0.59375
1598.390625,0.515625
1668,0.71875
1721.46875,0.9375
1747.640625,0.53125
1748.109375,0.46875
1764.875,0.46875
1765.421875,0.546875
1900.1875,0.640625
1904.125,0.65625
1996.390625,0.71875
2009.53125,0.5
2022.109375,0.84375
2022.90625,0.796875
2023.625,0.71875
2038.171875,0.546875
2038.640625,0.46875
2113.078125,0.59375
2177.015625,0.359375
2201.46875,0.625
2244.578125,0.5625
2326.6875,0.671875
2387.890625,0.546875
2388.53125,0.640625
2389.015625,0.484375
2462.421875,0.578125
2463.15625,0.734375
2476.71875,0.859375
2477.46875,0.75
2646.1875,0.375
2783.296875,0.5625
2783.984375,0.6875
2784.53125,0.546875
2841.265625,0.53125
2869.21875,0.375
2874.203125,0.5625
2874.828125,0.625
2877.71875,0.625
2939.3125,0.375
2993.078125,0.4375
2993.6875,0.609375
2994.125,0.4375
3029.65625,0.71875
3050.109375,0.421875
3050.5625,0.453125
3051.15625,0.59375
3092.828125,0.421875
3093.453125,0.625
3093.984375,0.53125
3197.703125,0.453125
3205.90625,0.640625
3206.578125,0.671875
3224.203125,0.359375
3368.328125,0.546875
3368.78125,0.453125
3369.25,0.46875
3369.796875,0.546875
3370.390625,0.59375
3584.390625,0.640625
3599.734375,0.5
3690.046875,0.8125
3909.078125,0.59375
3942.28125,0.6875
3956.078125,0.828125
4050.15625,0.484375
4071.40625,0.75
4072.234375,0.828125
4078.140625,0.328125
4088.921875,0.390625
4114.125,0.5
4174.90625,0.671875
4175.390625,0.484375
4269.40625,0.671875
4283.96875,0.578125
4293.796875,0.40625
4294.109375,0.3125
4404.0625,0.5
4404.625,0.5625
4454.90625,0.546875
4455.578125,0.671875
4553.25,0.609375
4553.828125,0.578125
4567.109375,0.390625
4567.578125,0.46875
4568.078125,0.5
4568.515625,0.4375
4623.703125,0.625
4624.484375,0.78125
4760.8125,0.546875
4862.921875,0.421875
4863.390625,0.46875
4863.890625,0.5
4979.9375,0.671875
4980.484375,0.546875
4994.53125,0.546875
5023.40625,0.46875
5023.875,0.46875
5192.5,0.515625
5193.046875,0.546875
5230.125,0.390625
5261.015625,0.84375
5313.859375,0.328125
5342.96875,0.671875
5369.046875,0.359375
5369.390625,0.34375
5434.953125,0.34375
5435.328125,0.375
5435.796875,0.46875
5436.171875,0.375
5615.140625,0.5625
5678.96875,0.390625
5705.859375,0.515625
5736.84375,0.359375
5737.234375,0.390625
5798.828125,0.640625
5889.171875,0.515625
5946.265625,0.453125
6003.21875,0.484375
6026.171875,0.796875
6102.96875,0.515625
6145.265625,0.65625
6214.765625,0.375
6244.890625,0.59375
6245.3125,0.421875
6287.953125,0.5625
6288.578125,0.625
6289.046875,0.46875
6289.6875,0.640625
6290.3125,0.625
6290.875,0.5625
6291.34375,0.46875
6292,0.65625
6378.40625,0.5
6378.78125,0.375
6452.78125,0.484375
6453.140625,0.359375
6453.578125,0.4375
6534.953125,0.609375
6540.625,0.5
6605.359375,0.8125
6606.265625,0.90625
6764.078125,0.5625
6764.75,0.671875
6859.21875,0.734375
6888.03125,0.5
6888.703125,0.671875
6925.96875,0.53125
6938.6875,0.484375
7154.15625,0.546875
7206.46875,0.703125
7227.8125,0.65625
7245.9375,0.375
7373.734375,0.546875
7374.375,0.640625
7427.015625,0.5625
7427.84375,0.828125
7428.484375,0.640625
7476.65625,0.328125
7476.96875,0.3125
7526.71875,0.375
7527.109375,0.390625
7539.390625,0.5
7539.859375,0.46875
7574,0.390625
7578.375,0.34375
7578.8125,0.4375
7582.265625,0.40625
7585.359375,0.421875
7590.875,0.484375
7613.234375,0.328125
7626.828125,0.75
7682.4375,0.53125
7683.015625,0.578125
7709.390625,0.390625
7709.796875,0.40625
7774.921875,0.734375
7775.828125,0.90625
7989.921875,0.3125
8013.71875,0.5
8014.171875,0.453125
8018.234375,0.375
8018.765625,0.53125
8036.484375,0.71875
8037.265625,0.78125
8038.015625,0.75
8038.625,0.609375
8039.28125,0.65625
8039.921875,0.640625
8100.375,0.515625
8119.28125,0.453125
8168.140625,0.78125
8214.546875,0.640625
8299.296875,0.4375
8356.9375,1
8412.015625,0.5
8475.796875,0.515625
8476.21875,0.421875
8509.09375,0.625
8509.828125,0.734375
8586.484375,0.46875
8648.671875,0.4375
8663.53125,0.546875
8730.015625,0.875
8751.84375,0.640625
8752.421875,0.578125
8763.921875,0.734375
8820.953125,0.484375
8821.609375,0.65625
8842.453125,0.40625
8842.921875,0.46875
8843.390625,0.46875
8972.765625,0.390625
8973.234375,0.46875
8973.65625,0.421875
9011.453125,0.5
9085.921875,0.828125
9086.5625,0.640625
9106.796875,0.40625
9133.203125,0.921875
9217.46875,0.640625
9234.390625,0.71875
9280.453125,0.609375
9281.09375,0.640625
9354.4375,0.546875
9355.21875,0.78125
9416.078125,0.71875
9583.03125,0.625
9598.890625,0.390625
9634.90625,0.5
9635.359375,0.453125
9666.984375,0.625
10043.1875,0.890625
10043.9375,0.75
10149.23438,0.40625
10281.23438,0.53125
10298.89063,0.453125
10433.73438,1.03125
10516.78125,0.5
10625.0625,0.328125
10744.35938,0.515625
10982.1875,0.390625
11082.375,0.578125
11083.07813,0.703125
11113.48438,0.46875
11113.90625,0.421875
11114.375,0.46875
11143.23438,0.4375
11152.96875,0.6875
11153.67188,0.703125
11246.92188,0.796875
11258.78125,0.4375
11366.65625,0.921875
11370.4375,0.640625
11371.14063,0.703125
11371.78125,0.640625
11372.4375,0.65625
11375.23438,0.546875
11375.95313,0.71875
11376.54688,0.59375
11424.60938,0.859375
11425.5,0.890625
11426.17188,0.671875
11429.65625,0.859375
11442.78125,0.84375
11484.04688,0.578125
11618.71875,0.421875
11619.20313,0.484375
11634.53125,0.828125
11635.5,0.96875
11646.20313,0.765625
11702.28125,0.359375
11702.64063,0.359375
11727.375,0.703125
11752.54688,0.625
11779.5,0.3125
11779.89063,0.390625
11874.32813,0.390625
11887.40625,0.609375
12073.76563,0.34375
12074.17188,0.40625
12099.15625,0.515625
12121.84375,0.640625
12182.51563,0.34375
12266.375,0.328125
12286.5,0.703125
12350.01563,0.484375
12350.46875,0.453125
12378.9375,0.65625
12388.09375,0.375
12446.8125,0.359375
12491.07813,0.625
12519.89063,0.65625
12583.75,0.546875
12584.35938,0.609375
12675.9375,0.375
12676.40625,0.46875
12676.75,0.34375
12677.20313,0.453125
12677.64063,0.4375
12678.0625,0.421875
12687.67188,0.390625
12711.76563,0.40625
12712.28125,0.515625
12712.8125,0.53125
12713.28125,0.46875
12713.78125,0.5
12726.4375,0.375
12768.625,0.59375
12769.15625,0.53125
12838.57813,0.4375
12904.98438,0.453125
12954.51563,0.515625
12997.73438,0.328125
13067.67188,0.859375
13068.53125,0.859375
13069.5,0.96875
13156.54688,0.59375
13161.375,0.53125
13161.84375,0.46875
13162.3125,0.46875
13162.79688,0.484375
13191.25,0.5
13191.65625,0.40625
13192.17188,0.515625
13214.9375,0.5625
13274.10938,0.34375
13274.54688,0.4375
13305.14063,0.375
13318.6875,0.53125
13356.85938,0.578125
13357.32813,0.46875
13365.26563,0.703125
13376.76563,0.625
13377.39063,0.625
13379.85938,0.53125
13380.39063,0.53125
13380.95313,0.5625
13381.46875,0.515625
13384.5,0.578125
13434.375,0.359375
13464.48438,0.59375
13474.67188,0.390625
13492.29688,0.703125
13513.07813,0.515625
13525.98438,0.765625
13526.71875,0.734375
13527.32813,0.609375
13527.875,0.546875
13528.53125,0.65625
13552.17188,0.546875
13664.9375,0.84375
13729.42188,0.671875
13729.95313,0.53125
13730.57813,0.625
13768.64063,0.53125
13769.14063,0.5
13776.375,0.4375
13789.76563,0.4375
13790.14063,0.375
13819.40625,0.421875
13819.73438,0.328125
13820.04688,0.3125
13820.375,0.328125
13820.79688,0.421875
13826.35938,0.796875
13829.28125,0.6875
13829.82813,0.546875
14079,0.671875
14079.95313,0.953125
14120.29688,0.734375
14134.84375,0.59375
14176.85938,0.484375
14203.70313,0.75
14325.25,0.328125
14325.64063,0.390625
14326.10938,0.46875
14427.51563,0.453125
14428.0625,0.546875
14428.5625,0.5
14429.03125,0.46875
14462.71875,0.5
14494.5625,0.59375
14525.07813,0.609375
14602.5625,0.53125
14684.89063,0.390625
14722.39063,0.46875
14722.98438,0.59375
14727.4375,0.546875
14852.01563,0.765625
14852.76563,0.75
14987.96875,0.40625
14988.54688,0.578125
15077.60938,0.921875
15274.26563,0.59375
15274.90625,0.640625
15275.6875,0.78125
15278.51563,0.375
15299.07813,0.421875
15408.17188,0.703125
15408.70313,0.53125
15409.15625,0.453125
15431.39063,0.53125
15432.03125,0.640625
15632.39063,0.609375
15641.84375,0.421875
